INFO:60:train:(8701.591796875, tensor(2.2772))
INFO:60:test:(4745.48388671875, tensor(1.2763))
INFO:61:train:(8691.2734375, tensor(2.2763))
INFO:61:test:(4726.97509765625, tensor(1.2736))
INFO:62:train:(8680.4033203125, tensor(2.2745))
INFO:62:test:(4697.9384765625, tensor(1.2656))
INFO:63:train:(8664.9365234375, tensor(2.2698))
INFO:63:test:(4655.07275390625, tensor(1.2514))
INFO:64:train:(8644.390625, tensor(2.2620))
INFO:64:test:(4603.03173828125, tensor(1.2402))
INFO:65:train:(8618.65625, tensor(2.2562))
INFO:65:test:(4559.5078125, tensor(1.2413))
INFO:66:train:(8589.37109375, tensor(2.2560))
INFO:66:test:(4466.458984375, tensor(1.2180))
INFO:67:train:(8552.6357421875, tensor(2.2460))
INFO:67:test:(4394.802734375, tensor(1.2178))
INFO:68:train:(8507.6689453125, tensor(2.2458))
INFO:68:test:(4298.5517578125, tensor(1.1974))
INFO:69:train:(8464.630859375, tensor(2.2372))
INFO:69:test:(4251.50732421875, tensor(1.1868))
INFO:70:train:(8444.4130859375, tensor(2.2334))
INFO:70:test:(4224.33984375, tensor(1.1918))
INFO:71:train:(8466.8701171875, tensor(2.2466))
INFO:71:test:(4263.77587890625, tensor(1.1835))
INFO:72:train:(8447.03125, tensor(2.2289))
INFO:72:test:(4337.58837890625, tensor(1.1767))
INFO:73:train:(8616.5673828125, tensor(2.2572))
INFO:73:test:(4049.17724609375, tensor(1.1562))
INFO:74:train:(8433.021484375, tensor(2.2460))
INFO:74:test:(4098.48193359375, tensor(1.1705))
INFO:75:train:(8391.376953125, tensor(2.2343))
INFO:75:test:(4337.80859375, tensor(1.2095))
INFO:76:train:(8480.0244140625, tensor(2.2412))
INFO:76:test:(4246.0908203125, tensor(1.1942))
INFO:77:train:(8438.625, tensor(2.2351))
INFO:77:test:(4014.755126953125, tensor(1.1559))
INFO:78:train:(8346.1728515625, tensor(2.2238))
INFO:78:test:(3980.614501953125, tensor(1.1416))
INFO:79:train:(8377.8974609375, tensor(2.2271))
INFO:79:test:(3963.76806640625, tensor(1.1304))
INFO:80:train:(8385.8515625, tensor(2.2252))
INFO:80:test:(3907.5419921875, tensor(1.1215))
INFO:81:train:(8342.4013671875, tensor(2.2180))
INFO:81:test:(3861.744384765625, tensor(1.1220))
INFO:82:train:(8289.5244140625, tensor(2.2123))
INFO:82:test:(3879.5498046875, tensor(1.1343))
INFO:83:train:(8300.96875, tensor(2.2194))
INFO:83:test:(3884.5625, tensor(1.1392))
INFO:84:train:(8320.265625, tensor(2.2263))
INFO:84:test:(3828.4462890625, tensor(1.1255))
INFO:85:train:(8286.5078125, tensor(2.2201))
INFO:85:test:(3770.426025390625, tensor(1.1052))
INFO:86:train:(8249.052734375, tensor(2.2098))
INFO:86:test:(3761.436767578125, tensor(1.0953))
INFO:87:train:(8257.12109375, tensor(2.2081))
INFO:87:test:(3749.989501953125, tensor(1.0941))
INFO:88:train:(8256.216796875, tensor(2.2095))
INFO:88:test:(3741.92041015625, tensor(1.0998))
INFO:89:train:(8239.6767578125, tensor(2.2114))
INFO:89:test:(3755.4970703125, tensor(1.1061))
INFO:90:train:(8224.5859375, tensor(2.2098))
INFO:90:test:(3764.095947265625, tensor(1.1054))
INFO:91:train:(8207.7236328125, tensor(2.2023))
INFO:91:test:(3786.7978515625, tensor(1.1069))
INFO:92:train:(8215.57421875, tensor(2.1997))
INFO:92:test:(3782.826416015625, tensor(1.1089))
INFO:93:train:(8208.767578125, tensor(2.2003))
INFO:93:test:(3760.00830078125, tensor(1.1091))
INFO:94:train:(8195.06640625, tensor(2.2023))
