INFO:59:test:(3988.482666015625, tensor(1.1226))
INFO:60:train:(6303.966796875, tensor(1.7456))
INFO:60:test:(3988.919189453125, tensor(1.1223))
INFO:61:train:(6303.3310546875, tensor(1.7451))
INFO:61:test:(3989.113525390625, tensor(1.1221))
INFO:62:train:(6302.41552734375, tensor(1.7446))
INFO:62:test:(3988.666748046875, tensor(1.1220))
INFO:63:train:(6301.77783203125, tensor(1.7446))
INFO:63:test:(3986.962646484375, tensor(1.1222))
INFO:64:train:(6301.0234375, tensor(1.7450))
INFO:64:test:(3985.046630859375, tensor(1.1225))
INFO:65:train:(6300.2431640625, tensor(1.7456))
INFO:65:test:(3983.36083984375, tensor(1.1229))
INFO:66:train:(6299.89794921875, tensor(1.7461))
INFO:66:test:(3982.451904296875, tensor(1.1229))
INFO:67:train:(6298.560546875, tensor(1.7463))
INFO:67:test:(3982.21630859375, tensor(1.1228))
INFO:68:train:(6298.0517578125, tensor(1.7459))
INFO:68:test:(3982.588623046875, tensor(1.1225))
INFO:69:train:(6296.68359375, tensor(1.7453))
INFO:69:test:(3983.093505859375, tensor(1.1222))
INFO:70:train:(6295.16259765625, tensor(1.7447))
INFO:70:test:(3982.838623046875, tensor(1.1221))
INFO:71:train:(6293.83740234375, tensor(1.7445))
INFO:71:test:(3982.0810546875, tensor(1.1223))
INFO:72:train:(6292.0517578125, tensor(1.7445))
INFO:72:test:(3981.181884765625, tensor(1.1227))
INFO:73:train:(6290.0341796875, tensor(1.7449))
INFO:73:test:(3980.557861328125, tensor(1.1233))
INFO:74:train:(6287.57177734375, tensor(1.7452))
INFO:74:test:(3981.71044921875, tensor(1.1238))
INFO:75:train:(6284.27880859375, tensor(1.7452))
INFO:75:test:(3985.606689453125, tensor(1.1240))
INFO:76:train:(6280.48193359375, tensor(1.7440))
INFO:76:test:(3993.636962890625, tensor(1.1240))
INFO:77:train:(6275.25341796875, tensor(1.7415))
INFO:77:test:(4006.28076171875, tensor(1.1256))
INFO:78:train:(6268.849609375, tensor(1.7398))
INFO:78:test:(4027.77734375, tensor(1.1289))
INFO:79:train:(6260.6455078125, tensor(1.7380))
INFO:79:test:(4057.232421875, tensor(1.1279))
INFO:80:train:(6252.755859375, tensor(1.7283))
INFO:80:test:(4066.718505859375, tensor(1.1529))
INFO:81:train:(6270.92431640625, tensor(1.7569))
INFO:81:test:(4100.73095703125, tensor(1.1272))
INFO:82:train:(6243.0380859375, tensor(1.7138))
INFO:82:test:(4086.1328125, tensor(1.1264))
INFO:83:train:(6229.62353515625, tensor(1.7124))
INFO:83:test:(4016.246337890625, tensor(1.1331))
INFO:84:train:(6210.39111328125, tensor(1.7300))
INFO:84:test:(3998.072265625, tensor(1.1381))
INFO:85:train:(6208.71435546875, tensor(1.7367))
INFO:85:test:(4035.532958984375, tensor(1.1322))
INFO:86:train:(6176.572265625, tensor(1.7129))
INFO:86:test:(4193.44140625, tensor(1.1443))
INFO:87:train:(6168.884765625, tensor(1.6831))
INFO:87:test:(4165.61865234375, tensor(1.1585))
INFO:88:train:(6125.216796875, tensor(1.6898))
INFO:88:test:(4125.9892578125, tensor(1.1643))
INFO:89:train:(6137.6103515625, tensor(1.7112))
INFO:89:test:(4345.73388671875, tensor(1.1786))
INFO:90:train:(6111.14794921875, tensor(1.6681))
INFO:90:test:(4281.16357421875, tensor(1.1729))
INFO:91:train:(6079.150390625, tensor(1.6659))
INFO:91:test:(4184.62109375, tensor(1.1733))
INFO:92:train:(6066.44482421875, tensor(1.6808))
INFO:92:test:(4153.95556640625, tensor(1.1671))
INFO:93:train:(6065.86767578125, tensor(1.6704))
INFO:93:test:(4138.48095703125, tensor(1.1568))
INFO:94:train:(6039.4697265625, tensor(1.6605))
INFO:94:test:(4220.4072265625, tensor(1.1655))
INFO:95:train:(6035.53662109375, tensor(1.6546))
INFO:95:test:(4108.91650390625, tensor(1.1449))
INFO:96:train:(6033.37158203125, tensor(1.6585))
INFO:96:test:(4138.48583984375, tensor(1.1579))
INFO:97:train:(6019.44775390625, tensor(1.6590))
INFO:97:test:(4344.77490234375, tensor(1.2018))
INFO:98:train:(6094.1689453125, tensor(1.6789))
INFO:98:test:(3954.7900390625, tensor(1.1153))
INFO:99:train:(6135.42822265625, tensor(1.6727))
INFO:99:test:(3883.596923828125, tensor(1.1058))
INFO:100:train:(6091.62841796875, tensor(1.6845))
INFO:100:test:(3971.587158203125, tensor(1.1248))
INFO:101:train:(6130.2041015625, tensor(1.7047))
INFO:101:test:(3942.645263671875, tensor(1.1165))
INFO:102:train:(6096.560546875, tensor(1.6930))
INFO:102:test:(3937.691650390625, tensor(1.1108))
INFO:103:train:(6064.7744140625, tensor(1.6759))
INFO:103:test:(3965.49658203125, tensor(1.1135))
INFO:104:train:(6043.06494140625, tensor(1.6606))
INFO:104:test:(4164.55419921875, tensor(1.1534))
INFO:105:train:(6126.2744140625, tensor(1.6670))
INFO:105:test:(3937.09521484375, tensor(1.1312))
INFO:106:train:(6047.009765625, tensor(1.6842))
INFO:106:test:(3950.696044921875, tensor(1.1299))
INFO:107:train:(6048.89453125, tensor(1.6849))
INFO:107:test:(4050.77197265625, tensor(1.1282))
INFO:108:train:(6044.35986328125, tensor(1.6633))
INFO:108:test:(4168.92724609375, tensor(1.1391))
INFO:109:train:(6058.2880859375, tensor(1.6527))
INFO:109:test:(4152.77197265625, tensor(1.1467))
INFO:110:train:(6024.4462890625, tensor(1.6556))
INFO:110:test:(4160.0712890625, tensor(1.1657))
INFO:111:train:(6023.7802734375, tensor(1.6680))
INFO:111:test:(4213.16064453125, tensor(1.1746))
INFO:112:train:(6000.8134765625, tensor(1.6571))
INFO:112:test:(3936.032958984375, tensor(1.1235))
INFO:113:train:(6060.79833984375, tensor(1.6782))
INFO:113:test:(4039.6455078125, tensor(1.1181))
INFO:114:train:(6086.60302734375, tensor(1.6552))
INFO:114:test:(4087.35009765625, tensor(1.1223))
INFO:115:train:(6082.08544921875, tensor(1.6469))
INFO:115:test:(4016.439453125, tensor(1.1285))
INFO:116:train:(6015.884765625, tensor(1.6529))
INFO:116:test:(4151.27880859375, tensor(1.1644))
INFO:117:train:(5991.99658203125, tensor(1.6504))
INFO:117:test:(4531.5009765625, tensor(1.2336))
INFO:118:train:(6008.74365234375, tensor(1.6456))
INFO:118:test:(4402.16162109375, tensor(1.2078))
INFO:119:train:(5960.4990234375, tensor(1.6386))
INFO:119:test:(4139.80712890625, tensor(1.1584))
INFO:120:train:(5933.23046875, tensor(1.6400))
